Source:,C:\TFS\github\pcb-project\pcb-project\pcb-project.sch,,,,,,,,,,,,
Date:,5/17/2019 13:18,,,,,,,,,,,,
Tool:,Eeschema (5.1.0)-1,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,155,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,,,,,,,
,,C8,22pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,
,,C9,22pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,
,,C10,1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,
,,C11,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,
,,C12,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,
,,C13,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,
,,C14,10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,
,,D_0,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_2,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_3,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_4,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_5,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_6,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_7,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_8,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_9,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_10,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_A1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_ALT1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_ALT2,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_B1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_BACKSPACE1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_BSLSH1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_C1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_CAPS_LOCK1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_COMMA1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_D1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_DOT1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_E1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_ENTER1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_EQUAL1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_F1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_F2,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_F3,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_F4,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_F5,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_F11,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_FN1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_G1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_H1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_I1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_J1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_K1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_L1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_M1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_MINUS1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_N1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_O1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_P1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
,,D_Q1,D,Device:D,random-keyboard-parts:D_SOD-123-Pretty,~,,,,,,,
